MeanNN,SDNN,RMSSD,pNN50,LF,HF,LF_HF,PR,Label
659.2058482732418,181.99287295740353,246.49465818857533,83.89301883615745,0.03516792128499003,0.09623235207559375,0.49104975810897794,91.15691712224236,Stressor
800.3544405926074,252.29063066099735,320.06039407782885,82.88081868822493,0.039209449787554924,0.10247323078707522,0.39518108699086557,75.1599797540933,Stressor
733.5439781273519,215.96822788694763,287.446796994166,83.51101584905743,0.05266922210251866,0.12161545781322318,0.4386108237990192,81.80953498010076,Stressor
887.3522000387673,232.3274380960428,293.7886535076635,86.06399819086386,0.04353859944387449,0.11847303944119136,0.38999569148135194,67.61786029998939,Stressor
860.733308700819,318.74020121642934,426.6400740095861,88.66705456620318,0.04488669558135054,0.09800363104952885,0.5035079189402375,69.78451220965466,Stressor
707.139087058533,175.35405450607925,233.13157327948701,76.03277811408171,0.036360165511259174,0.09172442335291126,0.44802807058530264,84.9023705835406,Stressor
760.0883871710489,229.6378490016925,288.46529246866464,77.66495171266085,0.034373483586551845,0.08731161444706237,0.40418629903664854,79.40121496119843,Stressor
822.2204909933185,323.6043099285124,452.4189611202655,85.71604970064818,0.03729251973779615,0.07928473944776701,0.71974700046413,73.20016201507538,Stressor
793.0015857694428,262.68679715192627,320.8973531071249,84.24469111969111,0.03498388524753489,0.09502491410638489,0.3950627363206964,75.86037264556995,Stressor
634.3276967433658,163.5645839020343,218.7641906410824,65.18027031725364,0.03987259565935789,0.10263074397888028,0.42967669657868923,94.74196773107101,Stressor
832.564796398711,219.43213354254948,296.646161441766,85.16897005521187,0.028330526443772562,0.10944248820905308,0.3604455339661783,72.22805479463759,Stressor
743.4578754578754,216.54595181441968,300.8147820330647,89.34615384615385,0.03794653249504691,0.08938853420563761,0.514712112836226,80.71360810200146,Stressor
804.2850378858487,239.24935183269008,313.3202397726709,82.33328897742845,0.041258993410631016,0.13718524675949104,0.3618513552189305,74.74218015096764,Stressor
736.9464623704642,247.77835698008965,325.3785978314821,87.25270125045613,0.04572591411599654,0.083626917749642,0.673391221991586,81.45773893823304,Stressor
1889.474032948791,3063.4474616420825,4219.544242794293,91.64571330924714,0.006707278885754905,0.01113909447307753,19.5614503221199,41.96972206839891,Stressor
1447.4908224159226,1330.4561790485457,1715.481747542616,83.59406081273089,0.030163031536454672,0.06051430872699722,3.8765629883005372,57.54054832935196,Stressor
