MeanNN,SDNN,RMSSD,pNN50,LF,HF,LF_HF,PR,Label
628.7981859410431,98.96372142969317,125.85161374215353,52.38095238095238,0.060174631294973205,0.09506615479248237,0.6329839258836261,95.42019017158584,Rest
824.3558147813466,186.88844428760427,253.2524499915867,87.53594019551467,0.01674379289561721,0.07797671011369357,0.20552979674315255,72.81802544240398,Rest
654.7819977969938,127.20959439161723,173.62360962816595,74.10145103515269,0.05418055660578659,0.08116226325311178,0.8167637423067432,91.63355649536771,Rest
880.9144500813934,237.54925528227136,292.42733026614474,86.22635247261866,0.05094923839762534,0.08842704187465314,0.5815074005709936,68.14488165322206,Rest
793.5609450510112,151.3971879331535,215.0395171944083,83.96500805441202,0.0321265042725333,0.0773314133095489,0.4153284921385523,75.61268260430444,Rest
812.0112624306082,112.72817612881249,171.7612127407454,79.51961606560432,0.010232209943469267,0.0900463149326498,0.11385480848642798,73.89341836558097,Rest
779.3951791242813,98.13337423861351,114.41964702094069,60.01676986584108,0.038547264306022885,0.05250240567760513,0.7614114120084439,76.98296633259467,Rest
832.2846167916591,156.37246439414645,208.7153437983854,78.24780852949867,0.04120469527849566,0.08382578789269195,0.4849251344931193,72.0908528488653,Rest
590.9328885980282,58.82911548173317,75.36978483903903,45.65908083345648,0.0388811574958501,0.04300408507391719,0.909006219236494,101.5371612634878,Rest
644.8647332448907,178.9793376764032,238.35334614711155,79.12013635829317,0.05099750156174369,0.07758183145210827,0.6595367477321831,93.06474816656842,Rest
929.2410714285713,144.7879802869487,191.01867081758434,85.15625,0.030712514434018956,0.10000611187501722,0.3114475938597036,64.56882056209464,Rest
683.2374634036483,138.20568419218986,184.35934629545014,77.96735417761428,0.04047484392734581,0.08382241447992757,0.5251675213242197,87.82668569820274,Rest
751.9614892937041,142.50894720620383,134.26591651710888,62.501997443272614,0.009703283991544933,0.014641456169635638,0.8711478621323561,80.06082259367955,Rest
668.5649356797923,142.3872111629929,196.9201900930758,73.87400183063473,0.052260585954143415,0.08682192226450566,0.6213730870208383,89.74863378527947,Rest
934.5819683805726,392.2417401284682,523.4808411460801,89.71211365902292,0.05686227621268437,0.06431471877116707,0.9778531130700634,64.5350242224645,Rest
802.4582412063578,287.73819748351355,373.71558817274274,91.56051682417933,0.04385465400529835,0.04152803671652648,1.1415768471976149,74.77542261286317,Rest
