MeanNN,pNN50,RMSSD,SDNN,Label
656.9740437158471,76.02003642987249,244.98843910781665,183.61447708776882,Stress
796.1990595611285,82.89744738020599,336.7542807951819,252.801152350981,Stress
750.3481012658228,82.9113924050633,297.59519589907023,221.24752846191467,Stress
890.820895522388,88.80597014925374,272.8380499559389,211.16237029301274,Stress
847.2821461140946,84.69196473806869,435.86229999897023,313.0896757930097,Stress
708.6642100414556,71.13878751372994,235.93618814831922,172.6627189103565,Stress
742.1875,68.125,285.9256181588087,236.28325362453478,Stress
819.5486111111111,85.06944444444446,367.766107674032,257.79089349454586,Stress
798.0536912751678,82.5503355704698,336.4560932762293,271.53885255911405,Stress
632.8831507120813,57.689911945411815,214.5564102428894,161.1917514556602,Stress
815.1350837138508,83.0955098934551,289.15911959113083,213.26833087520484,Stress
743.0961553581257,85.2504127682994,296.84508098328274,209.96086291794518,Stress
797.3254877393949,78.59316269912296,305.54390667876044,235.7244813939608,Stress
735.4959092312442,85.4391787588762,326.125803458566,248.86217094937447,Stress
1998.2456140350878,89.47368421052632,4634.28604456578,4769.079771524893,Stress
843.7588652482269,85.81560283687944,352.72713047259145,279.9809662078891,Stress
