MeanNN,pNN50,RMSSD,SDNN,Label
633.0643078790202,43.59570805500206,119.11507418659349,90.28504520320224,Rest
827.3551462004706,81.96792654838671,264.7762359481322,188.51491841110553,Rest
652.4842017273307,66.83421347269127,166.04834358880225,117.92202585158967,Rest
876.626826419273,78.27627883109166,280.25091558247635,228.01386811881136,Rest
781.7817798212535,81.16579445526814,215.82465086916375,149.06947068135162,Rest
808.6635971341854,73.42617636735282,174.99871185556475,113.66982266310114,Rest
778.9570809307651,46.235182156234785,100.01826285319511,86.37805161241972,Rest
842.4194812911392,73.54098181972513,210.38835312951704,157.495211261119,Rest
596.9399001960552,28.810168554849405,76.16187500672721,62.25522116552358,Rest
635.1645852761002,70.49713873154589,218.67237918564777,165.01167150103157,Rest
936.4258266761047,74.85653251087068,191.05608649561955,142.27218326557283,Rest
698.0675794452544,73.88704924220316,196.19908577246213,148.70326336128272,Rest
733.5376442625297,51.45683006282702,119.47515683550579,96.20717495175828,Rest
677.5515864644932,65.18347503290525,206.23602347204476,151.94274326429294,Rest
953.1489632698418,87.78637762937548,607.1731682851494,436.43244204420415,Rest
778.2636919351579,90.0794962123211,353.23573508094216,265.9331307955116,Rest
